"filename", "language", "JavaScript", "JSON", "Batch", "PowerShell", "Objective-C", "C", "XML", "Groovy", "Java Properties", "Java", "Ini", "comment", "blank", "total"
"c:\HAMRANDROID\hamr-android\hamr\.flowconfig", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 10, 21, 100
"c:\HAMRANDROID\hamr-android\hamr\.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\HAMRANDROID\hamr-android\hamr\App.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 59
"c:\HAMRANDROID\hamr-android\hamr\__tests__\App-test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\HAMRANDROID\hamr-android\hamr\analytics\ga.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\HAMRANDROID\hamr-android\hamr\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 111, 25, 241
"c:\HAMRANDROID\hamr-android\hamr\android\app\google-services.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\CustomToastPackage.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"c:\HAMRANDROID\hamr-android\hamr\android\app\src\main\java\com\hamr\ExportModule.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 76, 92, 399
